Region ID,OSM ID,Access Score,Coordinates,Average Curb Ramp Score,Average No Curb Ramp Score,Average Obstacle Score,Average Surface Problem Score,Curb Ramp Significance,No Curb Ramp Significance,Obstacle Significance,Surface Problem Significance
100,26785061,3.5817479290002885e-10,"[(-100.4010559,25.6634778),(-100.4013934,25.6627321)]",11.0,8.0,11.0,11.0,0.75,-1.0,-1.0,-1.0
101,26785061,2.289734845593124e-11,"[(-100.4006648,25.6643216),(-100.4010559,25.6634778)]",10.0,6.0,14.0,12.0,0.75,-1.0,-1.0,-1.0
102,26785061,1.1399918530430558e-12,"[(-100.4003021,25.6651032),(-100.4006648,25.6643216)]",6.0,8.0,16.0,8.0,0.75,-1.0,-1.0,-1.0
103,26785061,6.305116760146985e-16,"[(-100.4013934,25.6627321),(-100.4017421,25.6619601)]",8.0,11.0,17.0,13.0,0.75,-1.0,-1.0,-1.0
104,26785061,6.560200168110743e-12,"[(-100.4017421,25.6619601),(-100.4017787,25.6618791)]",3.0,8.0,11.0,9.0,0.75,-1.0,-1.0,-1.0
105,26785090,4.0831634601813082e-22,"[(-100.4037433,25.6551924),(-100.4033645,25.6560436)]",1.0,20.0,19.0,11.0,0.75,-1.0,-1.0,-1.0
106,26785090,3.3086216207858244e-18,"[(-100.4032205,25.6564424),(-100.4030391,25.6568691)]",1.0,13.0,19.0,9.0,0.75,-1.0,-1.0,-1.0
107,26785090,3.628344178047032e-15,"[(-100.4022918,25.6584568),(-100.4021564,25.6587608),(-100.4019421,25.6591948)]",1.0,10.0,15.0,9.0,0.75,-1.0,-1.0,-1.0
108,26785090,8.201253044288238e-21,"[(-100.4026654,25.6576666),(-100.4023685,25.6582848),(-100.4022918,25.6584568)]",1.0,13.0,24.0,10.0,0.75,-1.0,-1.0,-1.0
109,26785090,1.3347932285976013e-15,"[(-100.4019421,25.6591948),(-100.4017243,25.6596556),(-100.4015458,25.6600383)]",1.0,14.0,11.0,10.0,0.75,-1.0,-1.0,-1.0
110,26785090,1.8537533430097598e-26,"[(-100.4030391,25.6568691),(-100.4026654,25.6576666)]",1.0,18.0,29.0,13.0,0.75,-1.0,-1.0,-1.0
111,26785090,5.454994842887922e-18,"[(-100.4011981,25.6608135),(-100.4008921,25.6615479),(-100.4008871,25.6615709)]",3.0,14.0,15.0,13.0,0.75,-1.0,-1.0,-1.0
112,26785090,6.64554417291507e-17,"[(-100.4015458,25.6600383),(-100.4011981,25.6608135)]",1.0,16.0,13.0,9.0,0.75,-1.0,-1.0,-1.0
113,26785090,4.0307262913476244e-17,"[(-100.4008508,25.6616505),(-100.4004964,25.6624291)]",7.0,10.0,15.0,18.0,0.75,-1.0,-1.0,-1.0
114,26785090,1.3176514268359263e-10,"[(-100.4008871,25.6615709),(-100.4008508,25.6616505)]",3.0,7.0,7.0,11.0,0.75,-1.0,-1.0,-1.0
115,26785090,3.532628572200807e-24,"[(-100.3997839,25.6640124),(-100.3994362,25.6647808)]",4.0,20.0,24.0,13.0,0.75,-1.0,-1.0,-1.0
116,26785090,1.0121150314608955e-24,"[(-100.4001643,25.6631679),(-100.3999788,25.6635818),(-100.3997839,25.6640124)]",5.0,14.0,26.0,19.0,0.75,-1.0,-1.0,-1.0
117,26785090,4.248354255291589e-18,"[(-100.4004964,25.6624291),(-100.4001643,25.6631679)]",8.0,9.0,22.0,15.0,0.75,-1.0,-1.0,-1.0
118,26785090,4.248354255291589e-18,"[(-100.4033645,25.6560436),(-100.4032966,25.6562384),(-100.4032205,25.6564424)]",0.0,14.0,17.0,9.0,0.75,-1.0,-1.0,-1.0
119,26785096,1.0815941557168708e-11,"[(-100.3984374,25.6644132),(-100.3977728,25.6652715)]",5.0,6.0,9.0,14.0,0.75,-1.0,-1.0,-1.0
120,26785096,4.785094494890119e-06,"[(-100.3985151,25.664383),(-100.3984374,25.6644132)]",5.0,6.0,4.0,6.0,0.75,-1.0,-1.0,-1.0
121,26785096,5.905303995456777e-10,"[(-100.3977728,25.6652715),(-100.3974637,25.6656707)]",1.0,3.0,11.0,8.0,0.75,-1.0,-1.0,-1.0
122,26785096,2.6810038677817314e-14,"[(-100.3974637,25.6656707),(-100.3967288,25.666668)]",1.0,5.0,18.0,9.0,0.75,-1.0,-1.0,-1.0
123,26785240,1.9039802832864526e-17,"[(-100.4053327,25.6604089),(-100.4050054,25.6611969)]",2.0,13.0,18.0,9.0,0.75,-1.0,-1.0,-1.0
124,26785240,4.719495271526123e-20,"[(-100.4046565,25.6619835),(-100.4043584,25.6627425)]",2.0,16.0,20.0,10.0,0.75,-1.0,-1.0,-1.0
125,26785240,1.647265708374567e-19,"[(-100.4050054,25.6611969),(-100.4046565,25.6619835)]",1.0,14.0,19.0,11.0,0.75,-1.0,-1.0,-1.0
126,26785240,1.039538011670221e-15,"[(-100.4043214,25.6628293),(-100.4039789,25.6636322)]",6.0,11.0,17.0,11.0,0.75,-1.0,-1.0,-1.0
127,26785240,3.398267807946847e-09,"[(-100.4043584,25.6627425),(-100.4043214,25.6628293)]",2.0,8.0,9.0,4.0,0.75,-1.0,-1.0,-1.0
128,26785240,3.0988191387122225e-12,"[(-100.4056727,25.6596081),(-100.4053327,25.6604089)]",2.0,9.0,11.0,8.0,0.75,-1.0,-1.0,-1.0
129,26785240,6.914400106935423e-13,"[(-100.4036473,25.6644178),(-100.4033263,25.665219)]",8.0,9.0,17.0,8.0,0.75,-1.0,-1.0,-1.0
130,26785240,3.2661313427863805e-13,"[(-100.4039789,25.6636322),(-100.4036473,25.6644178)]",7.0,6.0,18.0,10.0,0.75,-1.0,-1.0,-1.0
131,26785240,4.658886145103376e-15,"[(-100.4033263,25.665219),(-100.4029868,25.666047)]",8.0,6.0,21.0,12.0,0.75,-1.0,-1.0,-1.0
132,26785289,1.1399918530430558e-12,"[(-100.4022409,25.6630241),(-100.4030953,25.6633178)]",6.0,7.0,16.0,9.0,0.75,-1.0,-1.0,-1.0
133,26785289,1.5628821893349888e-18,"[(-100.4039789,25.6636322),(-100.4048536,25.6639312)]",4.0,12.0,22.0,10.0,0.75,-1.0,-1.0,-1.0
134,26785289,3.2661313427863805e-13,"[(-100.4079548,25.665016),(-100.4083894,25.6651708)]",3.0,8.0,15.0,8.0,0.75,-1.0,-1.0,-1.0
135,26785289,4.0307262913476244e-17,"[(-100.4074949,25.6648523),(-100.4079548,25.665016)]",3.0,12.0,21.0,7.0,0.75,-1.0,-1.0,-1.0
136,26785289,6.819577438961235e-27,"[(-100.4066394,25.6645495),(-100.4074949,25.6648523)]",5.0,15.0,28.0,21.0,0.75,-1.0,-1.0,-1.0
